id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
4,México,Monterrey,Noreste,parque,betweenness_c,-0.0599,0.0,True
4,México,Monterrey,Noreste,parque,closeness_c,0.1003,0.0,True
4,México,Monterrey,Noreste,parque,degree_c,-0.1215,0.0,True
4,México,Monterrey,Noreste,policia,betweenness_c,-0.0341,0.0,True
4,México,Monterrey,Noreste,policia,closeness_c,-0.2027,0.0,True
4,México,Monterrey,Noreste,policia,degree_c,-0.066,0.0,True
5,México,Culiacán,Noroeste,bomberos,betweenness_c,-0.0885,0.0,True
5,México,Culiacán,Noroeste,bomberos,closeness_c,-0.5854,0.0,True
5,México,Culiacán,Noroeste,bomberos,degree_c,-0.0307,6e-06,True
5,México,Culiacán,Noroeste,clinica,betweenness_c,-0.157,0.0,True
5,México,Culiacán,Noroeste,clinica,closeness_c,-0.2407,0.0,True
5,México,Culiacán,Noroeste,clinica,degree_c,-0.1664,0.0,True
5,México,Culiacán,Noroeste,escuela,betweenness_c,-0.1414,0.0,True
5,México,Culiacán,Noroeste,escuela,closeness_c,-0.3992,0.0,True
5,México,Culiacán,Noroeste,escuela,degree_c,-0.145,0.0,True
5,México,Culiacán,Noroeste,farmacia,betweenness_c,-0.0571,0.0,True
5,México,Culiacán,Noroeste,farmacia,closeness_c,-0.3699,0.0,True
5,México,Culiacán,Noroeste,farmacia,degree_c,-0.0296,1.4e-05,True
5,México,Culiacán,Noroeste,hospital,betweenness_c,-0.1163,0.0,True
5,México,Culiacán,Noroeste,hospital,closeness_c,-0.7181,0.0,True
5,México,Culiacán,Noroeste,hospital,degree_c,-0.0931,0.0,True
5,México,Culiacán,Noroeste,mercado,betweenness_c,-0.0959,0.0,True
5,México,Culiacán,Noroeste,mercado,closeness_c,-0.3689,0.0,True
5,México,Culiacán,Noroeste,mercado,degree_c,-0.0601,0.0,True
5,México,Culiacán,Noroeste,parque,betweenness_c,0.0162,0.017528,True
5,México,Culiacán,Noroeste,parque,closeness_c,0.0887,0.0,True
5,México,Culiacán,Noroeste,parque,degree_c,0.0027,0.688033,False
5,México,Culiacán,Noroeste,policia,betweenness_c,-0.0679,0.0,True
5,México,Culiacán,Noroeste,policia,closeness_c,-0.6073,0.0,True
5,México,Culiacán,Noroeste,policia,degree_c,0.0028,0.685731,False
6,México,Guadalajara,Occidente (Bajío),bomberos,betweenness_c,-0.0388,0.0,True
6,México,Guadalajara,Occidente (Bajío),bomberos,closeness_c,-0.3337,0.0,True
6,México,Guadalajara,Occidente (Bajío),bomberos,degree_c,-0.032,0.0,True
6,México,Guadalajara,Occidente (Bajío),clinica,betweenness_c,-0.0736,0.0,True
6,México,Guadalajara,Occidente (Bajío),clinica,closeness_c,-0.4729,0.0,True
6,México,Guadalajara,Occidente (Bajío),clinica,degree_c,-0.046,0.0,True
6,México,Guadalajara,Occidente (Bajío),escuela,betweenness_c,-0.1291,0.0,True
6,México,Guadalajara,Occidente (Bajío),escuela,closeness_c,0.0127,0.033572,True
6,México,Guadalajara,Occidente (Bajío),escuela,degree_c,-0.2114,0.0,True
6,México,Guadalajara,Occidente (Bajío),farmacia,betweenness_c,-0.1403,0.0,True
6,México,Guadalajara,Occidente (Bajío),farmacia,closeness_c,-0.1458,0.0,True
6,México,Guadalajara,Occidente (Bajío),farmacia,degree_c,-0.2121,0.0,True
6,México,Guadalajara,Occidente (Bajío),hospital,betweenness_c,-0.0755,0.0,True
6,México,Guadalajara,Occidente (Bajío),hospital,closeness_c,-0.3156,0.0,True
6,México,Guadalajara,Occidente (Bajío),hospital,degree_c,-0.1149,0.0,True
6,México,Guadalajara,Occidente (Bajío),mercado,betweenness_c,-0.068,0.0,True
6,México,Guadalajara,Occidente (Bajío),mercado,closeness_c,-0.178,0.0,True
6,México,Guadalajara,Occidente (Bajío),mercado,degree_c,-0.102,0.0,True
6,México,Guadalajara,Occidente (Bajío),parque,betweenness_c,-0.0187,0.001762,True
