columna,descripcion
corr_mercado_degree_c_rho,Spearman rho entre degree_c y distancia a 'mercado'
corr_parque_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'parque'
corr_parque_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'parque'
corr_parque_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'parque'
corr_parque_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'parque'
corr_parque_degree_c_p,p-valor de la correlación degree_c vs distancia a 'parque'
corr_parque_degree_c_rho,Spearman rho entre degree_c y distancia a 'parque'
corr_policia_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'policia'
corr_policia_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'policia'
corr_policia_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'policia'
corr_policia_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'policia'
corr_policia_degree_c_p,p-valor de la correlación degree_c vs distancia a 'policia'
corr_policia_degree_c_rho,Spearman rho entre degree_c y distancia a 'policia'
