id,pais,ciudad,region_geografica,servicio,n_pois,dist_mean,dist_median,dist_std,dist_p90,dist_cv,pct_acceso
16,México,Valle de Bravo,Centro (Pueblo Mágico),policia,6,2963.525562,2239.636,2531.781319,6832.9138,0.8543,23.22
16,México,Valle de Bravo,Centro (Pueblo Mágico),bomberos,1,5572.268947,5799.596,3405.025612,9599.7652,0.6111,4.42
17,México,León,Centro-Bajío,hospital,22,1934.122773,1695.304,1203.501534,3673.422,0.6222,24.94
17,México,León,Centro-Bajío,clinica,3,3865.513834,3814.178,1712.985353,6222.9294,0.4431,4.64
17,México,León,Centro-Bajío,farmacia,27,1633.775095,1472.94,983.789156,3040.655,0.6022,30.16
17,México,León,Centro-Bajío,escuela,51,1355.922034,1234.385,802.833643,2411.3256,0.5921,38.38
17,México,León,Centro-Bajío,mercado,86,921.338887,793.712,621.835538,1729.3354,0.6749,64.63
17,México,León,Centro-Bajío,parque,179,940.000775,796.108,677.163288,1878.5016,0.7204,63.34
17,México,León,Centro-Bajío,policia,7,2353.745334,2282.797,1107.847365,3773.982,0.4707,11.0
17,México,León,Centro-Bajío,bomberos,6,2701.783556,2596.611,1390.934985,4511.2726,0.5148,10.22
18,Colombia,Barranquilla,Caribe,hospital,64,876.015553,678.422,770.363071,1632.6886,0.8794,70.59
18,Colombia,Barranquilla,Caribe,clinica,45,1614.398337,1344.907,1178.284969,2980.7738,0.7299,36.67
18,Colombia,Barranquilla,Caribe,farmacia,46,1399.713106,1225.901,977.498391,2638.6094,0.6984,41.14
18,Colombia,Barranquilla,Caribe,escuela,268,449.02803,370.411,387.79996,786.9508,0.8636,95.3
18,Colombia,Barranquilla,Caribe,mercado,259,487.584897,405.778,424.293305,863.7452,0.8702,93.87
18,Colombia,Barranquilla,Caribe,parque,291,464.327741,334.742,668.103761,790.0152,1.4389,94.11
18,Colombia,Barranquilla,Caribe,policia,42,1050.797993,875.079,693.380288,2104.3062,0.6599,57.06
18,Colombia,Barranquilla,Caribe,bomberos,5,2117.787012,2035.985,1114.383949,3323.9132,0.5262,14.03
19,Colombia,Cartagena,Caribe,hospital,22,1859.221901,1455.912,1416.096738,3740.8742,0.7617,35.99
19,Colombia,Cartagena,Caribe,clinica,36,1698.745351,1216.974,1397.754339,3712.392,0.8228,40.87
19,Colombia,Cartagena,Caribe,farmacia,121,1046.27779,698.985,1008.100948,2478.1676,0.9635,61.61
19,Colombia,Cartagena,Caribe,escuela,311,428.031706,287.284,506.483749,940.9096,1.1833,90.91
19,Colombia,Cartagena,Caribe,mercado,321,794.799231,499.889,859.094224,2037.4562,1.0809,73.85
19,Colombia,Cartagena,Caribe,parque,401,737.434742,476.863,814.944901,1787.044,1.1051,75.98
19,Colombia,Cartagena,Caribe,policia,19,1528.315185,1136.606,1200.766239,3153.6638,0.7857,43.98
19,Colombia,Cartagena,Caribe,bomberos,1,3424.513523,3311.445,1605.556415,5618.2402,0.4688,5.36
20,Colombia,Santa Marta,Caribe,hospital,4,2773.775439,2441.473,1765.906608,5674.9048,0.6366,15.5
20,Colombia,Santa Marta,Caribe,clinica,14,2182.742457,1784.165,1516.992307,4549.0612,0.695,25.81
20,Colombia,Santa Marta,Caribe,farmacia,31,1112.249867,936.079,793.001178,2141.893,0.713,53.31
20,Colombia,Santa Marta,Caribe,escuela,307,397.637992,268.761,448.813295,816.2084,1.1287,93.29
20,Colombia,Santa Marta,Caribe,mercado,93,819.701714,648.324,696.823063,1670.6782,0.8501,71.73
